,task,answer
0,Read_training,k
1,ProbSolv_training,k
2,Math_training,k
3,ProgCompr_training,k
4,Math13,k
5,greatestNumber,k
6,Medium1,k
7,zero,k
8,interleavingWords,k
9,Geology,k
10,middleNumber,k
11,Math1,k
12,DoubleArray,k
13,Easy2,k
14,CommonChars,k
15,CountVowels,k
16,Transportation,k
17,YesNo,k
18,Math16,k
19,isPalindrome,k
20,Medium3,k
21,RecursiveBinaryToDecimal,k
22,DumbSort,k
23,ArtificialIntelligence,k
24,ReverseArray,k
25,Math9,k
26,iterativeCrossSum,k
27,Medium4,k
28,lcm,k
29,SquareRoot,k
30,Planet,k
31,ArrayAverage,k
32,Math10,k
33,isHurricane,k
34,Hard3,k
35,RecursiveFactorial,k
36,RecursiveFibonacciVariant,k
37,Graffiti,k
38,ExtraChar,k
39,Math12,k
40,lengthOfLastWord,k
41,Hard2,k
42,FastWord,k
43,evenLetters,k
44,Diary,k
45,ContainsSubstring,k
46,Math2,k
47,RecursivePower,k
48,Easy1,k
49,prime,k
50,RecursiveCrossSum,k
51,Frost,k
52,originalAndReverse,k
